article_id	author_id
41795	1
150415	2
78011	3
110938	4
5296	5
26761	6
136228	7
53973	8
18356	9
1459	10
103559	11
158664	12
51173	13
137212	14
21036	15
115252	16
84816	17
19206	18
50998	19
19350	20
162537	21
25044	22
145829	23
165280	24
161791	25
103525	26
158348	27
128156	28
86379	29
73323	30
16651	31
109786	32
99710	33
7459	34
36524	35
57069	36
85557	37
96581	38
130842	39
98859	40
11724	41
116812	42
114192	43
87029	44
81310	45
62741	46
130957	47
71657	48
30940	49
112142	50
167772	51
20998	52
15801	53
82999	54
155600	55
84947	56
153514	57
2464	58
130443	59
74031	60
59231	61
121430	62
58423	63
24570	64
145996	65
149431	66
66701	67
13686	68
166896	69
95752	70
68920	71
97707	72
114046	73
150955	74
32477	75
21376	76
146769	77
10074	78
80479	79
16373	80
77939	81
109552	82
27929	83
68772	84
58779	85
15074	86
92564	87
56192	88
4510	89
131955	90
143224	91
121248	92
39343	93
9002	94
105410	95
21126	96
122725	97
74515	98
132496	99
60583	100
91268	101
98444	102
140820	103
98775	104
21893	105
83290	106
165376	107
150084	108
96187	109
17833	110
3173	111
61989	112
57495	113
138976	114
69847	115
5453	116
52301	117
56182	118
119851	119
46652	120
104307	121
50936	122
53508	123
145899	124
86	125
108228	126
167319	127
48584	128
90994	129
14527	130
9748	131
137176	132
13131	133
89784	134
27810	135
5946	136
152163	137
46503	138
58952	139
159132	140
161613	141
127882	142
162761	143
16153	144
116221	145
140871	146
102269	147
137856	148
159813	149
74238	150
22578	151
109966	152
8096	153
15073	154
155597	155
108732	156
52261	157
20756	158
130796	159
144396	160
19176	161
109462	162
141219	163
91020	164
161626	165
114858	166
77080	167
3754	168
126525	169
128999	170
30052	171
3682	172
72588	173
47209	174
88686	175
50878	176
14226	177
56133	178
80457	179
92408	180
144019	181
61373	182
71841	183
66461	184
131652	185
66337	186
158790	187
145421	188
31265	189
29852	190
35297	191
10080	192
56621	193
11667	194
125006	195
5001	196
9038	197
33893	198
5330	199
35676	200
63747	201
15535	202
27484	203
13367	204
23864	205
50601	206
27675	207
115123	208
31768	209
103135	210
160286	211
41527	212
121351	213
140256	214
45350	215
68766	216
135623	217
95201	218
85366	219
112376	220
154022	221
28641	222
120419	223
30399	224
34414	225
143874	226
20217	227
165731	228
3532	229
109936	230
5097	231
13051	232
126541	233
55011	234
32872	235
152641	236
71482	237
26555	238
124541	239
167460	240
158814	241
159363	242
101017	243
155536	244
44576	245
83223	246
62840	247
84249	248
103950	249
82629	250
19774	251
3445	252
164543	253
23562	254
155490	255
16326	256
4767	257
14773	258
82009	259
69526	260
5668	261
80595	262
27194	263
56959	264
157699	265
24111	266
139188	267
44502	268
141903	269
60766	270
111939	271
